                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0831,                 2.5727,                 1.4985,                0.46301,                0.13538,                0.17851,                0.08654,                 2.4232,                 3.4821,                 3.0745,             0.00025076,             0.00025076,             0.00025076
                      2,                  1.322,                 2.1102,                 1.6567,                0.74845,                0.12666,                0.09933,                0.04708,                 2.2612,                 6.5874,                 3.3887,             0.00050207,             0.00050207,             0.00050207
                      3,                 1.4542,                 2.1973,                 1.7938,                0.13878,                0.18379,                0.02138,                0.00745,                 2.9019,                 13.622,                 4.8427,             0.00074831,             0.00074831,             0.00074831
                      4,                 1.4782,                 2.1919,                 1.7927,                 0.2327,                0.11932,                0.07573,                0.03577,                 2.5047,                 10.676,                 3.4585,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.3946,                 2.1527,                 1.7181,                0.22589,                0.19755,                0.09507,                0.04647,                 2.6908,                 9.2515,                 3.4495,             0.00073855,             0.00073855,             0.00073855
                      6,                 1.4277,                 2.0906,                 1.7169,                0.20384,                0.28473,                 0.1303,                0.05289,                 2.1837,                 5.1309,                 2.8347,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.3602,                 2.0356,                 1.7103,                0.36375,                0.34489,                0.27858,                0.16565,                 1.9116,                 3.8062,                 2.5652,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.3443,                 1.8632,                 1.6793,                 0.5511,                0.26942,                0.28453,                0.16367,                 2.1002,                 3.2373,                 2.7631,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.3212,                 1.8115,                 1.6646,                0.61222,                0.35078,                 0.2936,                0.16146,                 2.0779,                 3.1045,                 2.6737,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.2642,                 1.7904,                 1.6178,                0.50969,                0.26196,                0.30137,                 0.1711,                 1.9243,                 2.8202,                 2.4935,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.2471,                 1.6272,                 1.6113,                0.60176,                0.34945,                0.39971,                0.22974,                  1.695,                 2.7073,                 2.2849,             0.00069287,             0.00069287,             0.00069287
