epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3699,0.84136,4.59037,1.37878,0.14456,0.65618,0.28176,0.22748,0.73575,3.37341,1.39373,3.712e-05,3.712e-05,3.712e-05
2,71.9073,0.83635,3.70246,1.38408,0.45796,0.56805,0.51597,0.39601,0.80945,1.84696,1.44826,7.37162e-05,7.37162e-05,7.37162e-05
3,102.826,0.8614,2.63512,1.38972,0.65051,0.61694,0.64667,0.494,0.77426,1.46368,1.40211,0.000109573,0.000109573,0.000109573
4,133.137,0.80069,2.09001,1.34245,0.69239,0.67257,0.71823,0.54538,0.71613,1.23263,1.35131,0.000108674,0.000108674,0.000108674
5,163.509,0.74851,1.82204,1.3114,0.77965,0.6749,0.75296,0.58387,0.69289,1.0992,1.33938,0.000107565,0.000107565,0.000107565
6,193.461,0.73559,1.70841,1.29277,0.73879,0.71157,0.75853,0.59294,0.70671,1.07073,1.32936,0.000106456,0.000106456,0.000106456
7,223.271,0.71081,1.60374,1.2662,0.72794,0.74932,0.77575,0.6067,0.67669,1.03553,1.29601,0.000105347,0.000105347,0.000105347
8,253.272,0.71023,1.53088,1.27515,0.76407,0.72915,0.78665,0.62142,0.69455,0.9933,1.29719,0.000104238,0.000104238,0.000104238
9,283.326,0.70488,1.49514,1.25946,0.83429,0.69542,0.79493,0.62267,0.65173,0.98532,1.26167,0.00010313,0.00010313,0.00010313
10,313.261,0.67344,1.43569,1.24085,0.78896,0.70845,0.79609,0.62958,0.64802,1.00835,1.2738,0.000102021,0.000102021,0.000102021
11,343.259,0.67136,1.39949,1.23382,0.77197,0.75282,0.80527,0.63583,0.65434,0.95984,1.26836,0.000100912,0.000100912,0.000100912
12,373.921,0.65845,1.34163,1.22435,0.80293,0.7194,0.80608,0.64307,0.62139,0.93438,1.23982,9.98032e-05,9.98032e-05,9.98032e-05
13,404.272,0.64648,1.31949,1.21745,0.80665,0.71287,0.81307,0.6611,0.6025,0.88665,1.22109,9.86944e-05,9.86944e-05,9.86944e-05
14,434.061,0.6191,1.25008,1.19926,0.78822,0.7426,0.82963,0.66318,0.61964,0.89423,1.23261,9.75856e-05,9.75856e-05,9.75856e-05
15,463.772,0.63885,1.25459,1.206,0.78729,0.73745,0.81921,0.65674,0.62286,0.91452,1.2322,9.64768e-05,9.64768e-05,9.64768e-05
16,493.736,0.62953,1.21947,1.20328,0.80703,0.76601,0.83386,0.67598,0.58406,0.89375,1.19882,9.5368e-05,9.5368e-05,9.5368e-05
17,523.425,0.6281,1.20754,1.19975,0.80772,0.75086,0.8328,0.67428,0.59805,0.88054,1.22354,9.42592e-05,9.42592e-05,9.42592e-05
18,553.06,0.61662,1.16832,1.19194,0.79772,0.7671,0.83029,0.65756,0.61928,0.89003,1.23151,9.31504e-05,9.31504e-05,9.31504e-05
19,582.572,0.61437,1.15265,1.19534,0.82208,0.76015,0.8277,0.6727,0.60589,0.89907,1.21442,9.20416e-05,9.20416e-05,9.20416e-05
20,612.017,0.61603,1.14775,1.19222,0.77322,0.77521,0.81898,0.66917,0.59067,0.86132,1.20059,9.09328e-05,9.09328e-05,9.09328e-05
21,641.208,0.61016,1.12521,1.18226,0.76696,0.78104,0.82029,0.67363,0.58191,0.85904,1.19967,8.9824e-05,8.9824e-05,8.9824e-05
22,670.927,0.60631,1.10022,1.18231,0.78044,0.7816,0.83268,0.67922,0.58332,0.82969,1.19228,8.87152e-05,8.87152e-05,8.87152e-05
23,700.594,0.60128,1.10032,1.18211,0.79645,0.77913,0.83007,0.68565,0.56881,0.83579,1.18079,8.76064e-05,8.76064e-05,8.76064e-05
24,730.242,0.60697,1.08827,1.18337,0.84249,0.74686,0.82972,0.68493,0.58346,0.85132,1.19233,8.64976e-05,8.64976e-05,8.64976e-05
25,760.016,0.5946,1.05439,1.17814,0.85769,0.77025,0.85646,0.69219,0.58826,0.81225,1.20068,8.53888e-05,8.53888e-05,8.53888e-05
26,789.821,0.57702,1.03069,1.15922,0.83228,0.77582,0.85055,0.69732,0.58574,0.81538,1.19858,8.428e-05,8.428e-05,8.428e-05
27,819.519,0.58435,1.02817,1.16626,0.85152,0.77565,0.85313,0.70746,0.57009,0.8008,1.18832,8.31712e-05,8.31712e-05,8.31712e-05
28,849.089,0.58319,1.0188,1.1624,0.87038,0.74748,0.84753,0.69536,0.59663,0.824,1.20061,8.20624e-05,8.20624e-05,8.20624e-05
29,878.759,0.58392,1.0212,1.16454,0.84649,0.77574,0.84972,0.69571,0.58816,0.80877,1.20883,8.09536e-05,8.09536e-05,8.09536e-05
30,908.297,0.57022,0.98544,1.15529,0.8013,0.78691,0.84153,0.69305,0.56791,0.81556,1.17927,7.98448e-05,7.98448e-05,7.98448e-05
31,937.482,0.57661,0.97826,1.15371,0.82791,0.77276,0.84451,0.69383,0.57321,0.79107,1.18134,7.8736e-05,7.8736e-05,7.8736e-05
32,966.476,0.56957,0.97355,1.15376,0.85684,0.74739,0.84903,0.70186,0.57153,0.80213,1.1804,7.76272e-05,7.76272e-05,7.76272e-05
33,995.82,0.57921,0.95506,1.16144,0.8319,0.77053,0.84733,0.70003,0.56647,0.79448,1.18507,7.65184e-05,7.65184e-05,7.65184e-05
34,1025.22,0.5721,0.96904,1.15404,0.83636,0.77383,0.85163,0.70501,0.57788,0.78436,1.18943,7.54096e-05,7.54096e-05,7.54096e-05
35,1054.68,0.5717,0.95727,1.15619,0.81185,0.78213,0.84343,0.69577,0.5682,0.79217,1.18128,7.43008e-05,7.43008e-05,7.43008e-05
36,1085.28,0.57037,0.93984,1.15727,0.82686,0.75284,0.83672,0.68714,0.58725,0.828,1.20338,7.3192e-05,7.3192e-05,7.3192e-05
37,1114.81,0.56334,0.92437,1.14881,0.81051,0.76547,0.84546,0.69754,0.58433,0.79772,1.20399,7.20832e-05,7.20832e-05,7.20832e-05
38,1144.1,0.56808,0.93562,1.15838,0.78641,0.77873,0.83295,0.68854,0.57431,0.81258,1.18971,7.09744e-05,7.09744e-05,7.09744e-05
39,1173.34,0.55874,0.90762,1.14712,0.83636,0.75399,0.84723,0.69855,0.59125,0.79958,1.20278,6.98656e-05,6.98656e-05,6.98656e-05
40,1202.71,0.55666,0.90712,1.14377,0.80594,0.79065,0.85154,0.69531,0.60123,0.81249,1.21417,6.87568e-05,6.87568e-05,6.87568e-05
41,1232,0.55275,0.89145,1.13816,0.83804,0.75169,0.84796,0.7053,0.57362,0.79951,1.19053,6.7648e-05,6.7648e-05,6.7648e-05
42,1261.05,0.55092,0.89486,1.14322,0.85245,0.76313,0.84294,0.69667,0.5749,0.81158,1.19138,6.65392e-05,6.65392e-05,6.65392e-05
43,1290.06,0.55693,0.88934,1.13725,0.8339,0.78112,0.84536,0.69985,0.56626,0.80063,1.18543,6.54304e-05,6.54304e-05,6.54304e-05
44,1319.33,0.5601,0.88774,1.1451,0.86377,0.7397,0.84567,0.70317,0.54685,0.79367,1.16489,6.43216e-05,6.43216e-05,6.43216e-05
45,1348.58,0.54337,0.86741,1.13438,0.82777,0.77868,0.8458,0.6991,0.57544,0.79763,1.18868,6.32128e-05,6.32128e-05,6.32128e-05
46,1377.68,0.55368,0.85677,1.13486,0.79925,0.79231,0.84176,0.70723,0.5794,0.76653,1.18844,6.2104e-05,6.2104e-05,6.2104e-05
